prediction,valeur_reelle,erreur,erreur_pourcentage
406944.39,439792.0,32847.609999999986,7.468896660239382
404932.2,408466.0,3533.7999999999884,0.865139326161783
520595.07,422953.0,-97642.07,-23.085796767016667
366746.06,365202.0,-1544.0599999999977,-0.42279615117113206
401673.03,400594.0,-1079.030000000028,-0.26935750410640896
362252.17,359395.0,-2857.1699999999837,-0.7949943655309571
516277.73,581779.0,65501.27000000002,11.25878899032107
504210.58,500581.0,-3629.5800000000163,-0.7250734646340984
461500.72,434923.0,-26577.719999999972,-6.110902389618386
398387.12,410982.0,12594.880000000005,3.0645819038303395
436539.58,448363.0,11823.419999999984,2.637019557813643
452376.19,443538.0,-8838.190000000002,-1.9926567734895324
453640.35,429762.0,-23878.349999999977,-5.556179932148487
467242.49,416297.0,-50945.48999999999,-12.237774953939134
534769.96,593878.0,59108.04000000004,9.952892681661897
380050.74,386566.0,6515.260000000009,1.6854198248164631
375927.99,389808.0,13880.01000000001,3.5607298977958406
440380.4,439630.0,-750.4000000000233,-0.1706889884675803
383925.83,331377.0,-52548.830000000016,-15.85771794662877
415338.31,398881.0,-16457.309999999998,-4.125869620262685
449516.56,432740.0,-16776.559999999998,-3.876822110274067
492620.16,551596.0,58975.840000000026,10.691854183134037
545984.7,602839.0,56854.30000000005,9.431091883570913
354368.87,325772.0,-28596.869999999995,-8.77818535662979
410734.83,395785.0,-14949.830000000016,-3.7772603812676118
521798.51,527115.0,5316.489999999991,1.0086015385636893
506066.98,496753.0,-9313.979999999981,-1.874972068613573
378430.53,403101.0,24670.469999999972,6.120170875289312
405066.06,389570.0,-15496.059999999998,-3.977734425135405
411383.4,397534.0,-13849.400000000023,-3.483827798377
381245.18,386859.0,5613.820000000007,1.4511281888233198
366746.06,365202.0,-1544.0599999999977,-0.42279615117113206
355626.54,330513.0,-25113.53999999998,-7.598351653338894
527193.18,419980.0,-107213.18000000005,-25.52816324586886
448880.52,427152.0,-21728.52000000002,-5.086835599505567
487039.13,543371.0,56331.869999999995,10.367110132855819
437188.0,415198.0,-21990.0,-5.2962682864561
350015.61,344425.0,-5590.609999999986,-1.6231719532554219
439517.78,464839.0,25321.219999999972,5.447309713685808
373318.21,373721.0,402.78999999997905,0.10777826239359818
387742.95,363413.0,-24329.95000000001,-6.694848560728431
368317.99,367462.0,-855.9899999999907,-0.23294653596834247
451603.44,417293.0,-34310.44,-8.222146070027534
394195.38,387354.0,-6841.380000000005,-1.7661828714819015
469423.56,452994.0,-16429.559999999998,-3.6268824752645727
395237.09,375081.0,-20156.090000000026,-5.373796593269194
463025.41,440624.0,-22401.409999999974,-5.084019481462647
404303.73,416925.0,12621.270000000019,3.0272279186904165
401007.94,392340.0,-8667.940000000002,-2.209292960187593
413705.86,396300.0,-17405.859999999986,-4.392091849608878
360463.58,344548.0,-15915.580000000016,-4.619263498844868
442358.83,453818.0,11459.169999999984,2.5250585036292046
417652.67,435592.0,17939.330000000016,4.118379125420122
471643.77,400947.0,-70696.77000000002,-17.632447680117327
411720.92,392355.0,-19365.919999999984,-4.9358157790776165
413754.37,407988.0,-5766.369999999995,-1.4133675500259801
392769.3,392996.0,226.70000000001164,0.0576850654968528
398539.87,397518.0,-1021.8699999999953,-0.25706257326712134
453412.15,474076.0,20663.849999999977,4.35876315189969
450557.54,436667.0,-13890.539999999979,-3.181037266383761
438602.39,453235.0,14632.609999999986,3.228481913356203
446623.45,454898.0,8274.549999999988,1.8189901912076967
552665.22,554723.0,2057.780000000028,0.3709563151338646
504897.86,468347.0,-36550.859999999986,-7.804226353537011
390516.01,335444.0,-55072.01000000001,-16.417646462598828
410408.78,477574.0,67165.21999999997,14.063835133403405
432253.43,453575.0,21321.570000000007,4.7007815686490675
397126.88,385761.0,-11365.880000000005,-2.9463527935690763
400572.08,448541.0,47968.919999999984,10.69443373069574
374380.61,373360.0,-1020.609999999986,-0.27335815298906846
512278.75,559173.0,46894.25,8.386358068075534
386312.5,384999.0,-1313.5,-0.34116971732394114
458930.67,492832.0,33901.330000000016,6.878881647295633
448179.84,431819.0,-16360.840000000026,-3.7888189264483554
417038.3,388870.0,-28168.29999999999,-7.243628976264558
393829.4,381730.0,-12099.400000000023,-3.1696225080554377
539299.3,577295.0,37995.69999999995,6.581678344693779
471920.93,542166.0,70245.07,12.956376829236804
458363.81,403299.0,-55064.81,-13.653594479530076
425951.17,550064.0,124112.83000000002,22.563343538206464
407512.2,416873.0,9360.799999999988,2.2454800382850384
380255.48,355048.0,-25207.47999999998,-7.09973862688988
387788.43,390641.0,2852.570000000007,0.7302280098607179
358859.41,364857.0,5997.590000000026,1.643819359365457
393563.25,411749.0,18185.75,4.416707751567095
523848.18,593122.0,69273.82,11.679522931201339
385468.18,379096.0,-6372.179999999993,-1.680888218287714
403676.46,425403.0,21726.53999999998,5.107284151733762
449517.93,359123.0,-90394.93,-25.171022184599707
490173.57,527993.0,37819.42999999999,7.162865795569258
398420.5,396299.0,-2121.5,-0.5353281234623353
403067.16,390118.0,-12949.159999999974,-3.3192931369483016
409447.98,400371.0,-9076.979999999981,-2.2671422255857645
444599.71,486475.0,41875.28999999998,8.607901742124463
403939.08,394031.0,-9908.080000000016,-2.514543271976067
405457.98,393252.0,-12205.979999999981,-3.1038570687498046
345298.42,344227.0,-1071.4199999999837,-0.31125391093667365
462747.53,475416.0,12668.469999999972,2.664712588554018
466653.41,468092.0,1438.5900000000256,0.30733061022192765
441685.52,492062.0,50376.47999999998,10.237831817941638
425678.73,403275.0,-22403.72999999998,-5.5554472754323925
435289.28,411523.0,-23766.280000000028,-5.775200900071206
398236.16,400963.0,2726.8400000000256,0.6800727249147741
415102.74,414248.0,-854.7399999999907,-0.2063353353546645
433714.73,434564.0,849.2700000000186,0.19543036238621206
533340.65,513808.0,-19532.650000000023,-3.801546492074865
404877.93,401317.0,-3560.929999999993,-0.8873110284388632
437753.06,452770.0,15016.940000000002,3.316681758950461
447913.09,419425.0,-28488.090000000026,-6.792177385706628
546674.05,479236.0,-67438.05000000005,-14.07199167007488
482696.77,466107.0,-16589.77000000002,-3.559219235068347
481225.8,468896.0,-12329.799999999988,-2.6295383197979914
443014.66,395750.0,-47264.659999999974,-11.943060012634232
392165.3,391130.0,-1035.2999999999884,-0.2646946028174746
383511.29,376168.0,-7343.289999999979,-1.952130431083978
379476.49,404687.0,25210.51000000001,6.229631789506461
385669.15,375654.0,-10015.150000000023,-2.666057063148542
379279.99,381709.0,2429.0100000000093,0.6363512518698824
444777.13,567071.0,122293.87,21.565883284456444
548751.3,494943.0,-53808.30000000005,-10.871615519362846
380975.07,412156.0,31180.929999999993,7.565322353671909
388355.72,376046.0,-12309.719999999972,-3.2734612254883637
418818.74,466939.0,48120.26000000001,10.305470307684732
447953.46,422145.0,-25808.46000000002,-6.113648154070289
411491.38,404341.0,-7150.380000000005,-1.7684034020789396
404362.37,420418.0,16055.630000000005,3.8189682649172974
370225.87,358605.0,-11620.869999999995,-3.240576679075862
453391.55,552658.0,99266.45000000001,17.961641738652116
390737.09,383067.0,-7670.090000000026,-2.0022841957151165
415544.65,410927.0,-4617.650000000023,-1.123715404439237
500782.07,460515.0,-40267.07000000001,-8.743921479213492
409484.1,395530.0,-13954.099999999977,-3.527949839455914
418789.83,450275.0,31485.169999999984,6.992431291988225
450937.51,440426.0,-10511.51000000001,-2.3866688161007774
411959.07,398651.0,-13308.070000000007,-3.338275835254397
358260.84,357818.0,-442.8400000000256,-0.1237612417486056
389754.4,389386.0,-368.4000000000233,-0.09461048933449669
390158.12,349525.0,-40633.119999999995,-11.625239968528717
400990.13,413975.0,12984.869999999995,3.1366314390965626
431775.98,415651.0,-16124.979999999981,-3.879451751589671
399295.05,431803.0,32507.95000000001,7.528421525556796
500141.92,402513.0,-97628.91999999998,-24.254848911712166
463481.74,513555.0,50073.26000000001,9.750320803029862
398781.25,380516.0,-18265.25,-4.8001266701006005
528973.44,596304.0,67330.56000000006,11.291314497303398
355084.16,348943.0,-6141.159999999974,-1.7599321379136348
429855.24,437372.0,7516.760000000009,1.7186193903587814
534204.95,486293.0,-47911.94999999995,-9.852486052647262
410423.19,401953.0,-8470.190000000002,-2.107258808865714
425768.55,432479.0,6710.450000000012,1.5516244719396806
384746.83,375515.0,-9231.830000000016,-2.4584450687722237
413711.18,413441.0,-270.179999999993,-0.06534910664399347
373818.36,368280.0,-5538.359999999986,-1.5038449006190904
473459.61,490740.0,17280.390000000014,3.5212923340261675
399203.87,369434.0,-29769.869999999995,-8.058237736645786
454997.37,468200.0,13202.630000000005,2.8198697137975235
443360.15,463755.0,20394.849999999977,4.397763905510447
435721.44,482259.0,46537.56,9.64991011054226
370499.82,379019.0,8519.179999999993,2.2476920682076607
395126.8,373643.0,-21483.79999999999,-5.749820015362254
424924.38,399103.0,-25821.380000000005,-6.4698536468029575
443483.57,456805.0,13321.429999999993,2.916218079924693
382245.51,380625.0,-1620.5100000000093,-0.42574975369458373
410835.31,435171.0,24335.690000000002,5.592213175969906
544679.33,597873.0,53193.67000000004,8.89715207075751
543560.01,558140.0,14579.98999999999,2.612246031461639
442405.48,446229.0,3823.5200000000186,0.8568515269065925
399034.1,378583.0,-20451.099999999977,-5.402012240380571
458367.15,427119.0,-31248.150000000023,-7.316029022356772
413291.59,390792.0,-22499.590000000026,-5.757433621977938
407033.52,409743.0,2709.4799999999814,0.6612632796655419
453079.82,424350.0,-28729.820000000007,-6.770312242252858
437774.81,438305.0,530.1900000000023,0.12096371248331694
410642.11,406300.0,-4342.109999999986,-1.0686955451636688
535601.27,559444.0,23842.72999999998,4.2618617770500675
519612.8,517998.0,-1614.7999999999884,-0.3117386553616015
530576.83,525985.0,-4591.829999999958,-0.8729963782237057
427185.04,416086.0,-11099.039999999979,-2.667487009896987
377978.49,408179.0,30200.51000000001,7.398839724728614
532668.39,493766.0,-38902.390000000014,-7.878709753202936
527800.03,494026.0,-33774.03000000003,-6.836488362960659
557635.8,508802.0,-48833.80000000005,-9.597800323111946
428925.96,444204.0,15278.039999999979,3.4394197260718005
407714.46,399203.0,-8511.460000000021,-2.132113235621982
414845.69,452114.0,37268.31,8.243122309859901
370208.42,366373.0,-3835.4199999999837,-1.0468620777186048
380648.89,485054.0,104405.10999999999,21.52443026961946
495034.64,461049.0,-33985.640000000014,-7.371372674054171
413818.9,409366.0,-4452.900000000023,-1.0877552117176372
449366.4,465641.0,16274.599999999977,3.4950960074392023
362753.2,352321.0,-10432.200000000012,-2.9609929581262575
526772.27,454186.0,-72586.27000000002,-15.981617663248102
380699.15,349401.0,-31298.150000000023,-8.957658964914247
436283.25,416974.0,-19309.25,-4.630804318734501
419896.17,415056.0,-4840.169999999984,-1.166148664276624
520938.99,493952.0,-26986.98999999999,-5.463484306167398
437808.79,420086.0,-17722.78999999998,-4.218848045400223
428900.82,402027.0,-26873.820000000007,-6.684580886358381
403422.78,446427.0,43004.21999999997,9.632979188086736
440782.96,440559.0,-223.96000000002095,-0.05083541591478575
411730.03,419428.0,7697.969999999972,1.8353495713209353
351274.12,341283.0,-9991.119999999995,-2.9275176319945606
544155.95,530891.0,-13264.949999999953,-2.498620244080226
380789.65,411023.0,30233.349999999977,7.355634599523622
344588.88,315491.0,-29097.880000000005,-9.223045982294266
410615.5,405897.0,-4718.5,-1.1624870348881613
449516.56,432740.0,-16776.559999999998,-3.876822110274067
540471.66,439653.0,-100818.66000000003,-22.931416366998526
523397.59,509155.0,-14242.590000000026,-2.7972994471231796
517241.0,585496.0,68255.0,11.657637285310232
401766.87,469163.0,67396.13,14.365184381547566
396602.51,358299.0,-38303.51000000001,-10.690375915087682
415139.98,399909.0,-15230.979999999981,-3.8086114591069418
513462.09,581314.0,67851.90999999997,11.6721616888635
502386.08,622611.0,120224.91999999998,19.309796967930215
482453.01,414657.0,-67796.01000000001,-16.349901243678513
434027.91,453549.0,19521.090000000026,4.304075193639502
450652.32,446099.0,-4553.320000000007,-1.0206971995005607
399607.37,388214.0,-11393.369999999995,-2.934816879350048
402553.31,357617.0,-44936.31,-12.565484862296813
390148.74,368325.0,-21823.73999999999,-5.92513133781307
461633.87,580533.0,118899.13,20.481028640921362
431768.36,430364.0,-1404.359999999986,-0.3263191159111789
392769.3,392996.0,226.70000000001164,0.0576850654968528
386395.22,384612.0,-1783.219999999972,-0.4636412800432571
411752.87,392343.0,-19409.869999999995,-4.947168676387751
547972.16,563564.0,15591.839999999967,2.766649395632079
487462.65,404303.0,-83159.65000000002,-20.568645298204572
386471.73,346998.0,-39473.72999999998,-11.375780263863188
431483.36,434438.0,2954.640000000014,0.6801062522155092
444204.36,417045.0,-27159.359999999986,-6.512333201453077
360968.06,366924.0,5955.940000000002,1.6232080757868121
388974.62,387814.0,-1160.6199999999953,-0.2992723315816333
393672.0,394312.0,640.0,0.16230802004504047
495320.46,517623.0,22302.53999999998,4.308645481363846
402531.58,404579.0,2047.4199999999837,0.5060618568932109
446870.86,449262.0,2391.140000000014,0.5322373136388152
399083.25,386481.0,-12602.25,-3.260768317200587
400943.23,398128.0,-2815.2299999999814,-0.7071168066551414
350273.98,345506.0,-4767.979999999981,-1.3799991895943866
439030.18,403721.0,-35309.17999999999,-8.745935931001855
416949.37,411730.0,-5219.369999999995,-1.26766813202827
463479.8,443579.0,-19900.79999999999,-4.4864161738946144
403939.08,394031.0,-9908.080000000016,-2.514543271976067
533455.76,479252.0,-54203.76000000001,-11.310074866667225
381037.11,383860.0,2822.890000000014,0.735395717188562
437828.57,542100.0,104271.43,19.234722375945395
403676.46,425403.0,21726.53999999998,5.107284151733762
480701.54,414599.0,-66102.53999999998,-15.943728759596617
403391.96,393156.0,-10235.960000000021,-2.6035365096806413
353672.43,367638.0,13965.570000000007,3.7987286406737084
455081.21,380828.0,-74253.21000000002,-19.497833667692507
411997.02,376619.0,-35378.02000000002,-9.39358343577993
450189.24,493209.0,43019.76000000001,8.722419907179312
471164.87,385926.0,-85238.87,-22.086843073542596
383228.95,372880.0,-10348.950000000012,-2.775410319673893
416163.88,379182.0,-36981.880000000005,-9.753068447341912
413754.37,407988.0,-5766.369999999995,-1.4133675500259801
433491.37,599246.0,165754.63,27.660531734880166
