valeur_reelle,prediction,erreur,erreur_pourcentage
439792.0,408013.9,31778.099999999977,7.225711245315962
408466.0,404482.44,3983.5599999999977,0.9752488579220786
422953.0,501870.77,-78917.77000000002,-18.658756410286724
365202.0,365791.52,-589.5200000000186,-0.1614229933023419
400594.0,404473.36,-3879.359999999986,-0.9684019231441274
359395.0,362697.41,-3302.4099999999744,-0.9188803405723436
581779.0,501211.92,80567.08000000002,13.84839947815236
500581.0,495642.91,4938.090000000026,0.986471719861526
434923.0,462199.13,-27276.130000000005,-6.271484837545957
410982.0,404595.64,6386.359999999986,1.5539269359728616
448363.0,439062.9,9300.099999999977,2.0742344930335412
443538.0,453240.32,-9702.320000000007,-2.187483372337885
429762.0,453938.17,-24176.169999999984,-5.625478753356505
416297.0,444373.58,-28076.580000000016,-6.744362798674988
593878.0,517604.26,76273.73999999999,12.843334826344805
386566.0,376362.96,10203.039999999979,2.639404396661884
389808.0,374484.78,15323.219999999972,3.9309660140376725
439630.0,438361.19,1268.8099999999977,0.28860860268862404
331377.0,382026.34,-50649.340000000026,-15.284506770234513
398881.0,418727.05,-19846.04999999999,-4.975431268974955
432740.0,451415.46,-18675.46000000002,-4.315630632712488
551596.0,492944.9,58651.09999999998,10.632981384926644
602839.0,438018.03,164820.96999999997,27.34079414238295
325772.0,354334.25,-28562.25,-8.767558292302592
395785.0,412375.29,-16590.28999999998,-4.191742991775833
527115.0,520764.08,6350.919999999984,1.2048452424992617
496753.0,509180.16,-12427.159999999974,-2.501677896258296
403101.0,375012.47,28088.530000000028,6.968112210091275
389570.0,407490.45,-17920.45000000001,-4.60005903945376
397534.0,412314.01,-14780.01000000001,-3.717923498367438
386859.0,371366.62,15492.380000000005,4.004658027860281
365202.0,365791.52,-589.5200000000186,-0.1614229933023419
330513.0,355393.85,-24880.849999999977,-7.52794897628837
419980.0,505689.46,-85709.46000000002,-20.407986094575936
427152.0,449725.72,-22573.719999999972,-5.284704273888445
543371.0,446299.71,97071.28999999998,17.864643125967337
415198.0,453579.51,-38381.51000000001,-9.244146166407354
344425.0,349501.92,-5076.919999999984,-1.4740277273717017
464839.0,440488.38,24350.619999999995,5.238506235492288
373721.0,371835.51,1885.4899999999907,0.5045180763189627
363413.0,388113.54,-24700.53999999998,-6.796823448803421
367462.0,370342.27,-2880.2700000000186,-0.7838279876558715
417293.0,449923.63,-32630.630000000005,-7.819596782117124
387354.0,397067.05,-9713.049999999988,-2.5075383241169544
452994.0,458336.52,-5342.520000000019,-1.1793798593358893
375081.0,392481.06,-17400.059999999998,-4.639013972981836
440624.0,461864.79,-21240.78999999998,-4.820615763099599
416925.0,405583.61,11341.390000000014,2.720247046830968
392340.0,393247.41,-907.4099999999744,-0.23128154152010355
396300.0,416313.03,-20013.030000000028,-5.049969719909167
344548.0,361689.35,-17141.349999999977,-4.9750252504730765
453818.0,445896.23,7921.770000000019,1.7455830310829492
435592.0,421319.74,14272.26000000001,3.276520229939946
400947.0,461576.14,-60629.140000000014,-15.121484884535866
392355.0,408886.0,-16531.0,-4.213276242178639
407988.0,415713.72,-7725.719999999972,-1.8936145180740542
392996.0,399656.82,-6660.820000000007,-1.6948823906604664
397518.0,398808.9,-1290.9000000000233,-0.3247400117730576
